count,threshold,runtime,attack,reboot;signatures,aborts;reboots
8,2,30,6,3;12102,0;no
8,3,30,6,3;9641,0;no
8,4,30,6,3;8712,0;no
8,5,30,6,3;7561,0;no
8,6,30,6,3;6866,0;no
12,2,30,6,3;8966,0;no
12,4,30,6,3;7094,0;no
12,6,30,6,3;5958,0;no
12,8,30,6,3;5134,0;no
12,10,30,6,3;4446,0;no
18,2,30,6,3;5814,0;no
18,6,30,6,3;4424,0;no
18,9,30,6,3;3579,0;no
18,12,30,6,3;2881,0;no
18,16,30,6,3;2538,0;no
