count,threshold,runtime,attack,reboot;signatures,aborts;reboots
8,2,30,6,3;13037,0;yes
8,3,30,6,3;10633,0;yes
8,4,30,6,3;8934,0;yes
8,5,30,6,3;8046,0;yes
8,6,30,6,3;5266,135;yes
12,2,30,6,3;9238,0;yes
12,4,30,6,3;7529,0;yes
12,6,30,6,3;6270,0;yes
12,8,30,6,3;5011,0;yes
12,10,30,6,3;3165,154;yes
18,2,30,6,3;5930,0;yes
18,6,30,6,3;4654,0;yes
18,9,30,6,3;3750,0;yes
18,12,30,6,3;2728,39;yes
18,16,30,6,3;1455,223;yes
