count,threshold,runtime,attack,reboot;signatures,aborts;reboots
8,2,30,6,3;17437,0;no
8,3,30,6,3;15066,0;no
8,4,30,6,3;10335,0;no
8,5,30,6,3;9959,0;no
8,6,30,6,3;6775,0;no
12,2,30,6,3;16886,0;no
12,4,30,6,3;9831,0;no
12,6,30,6,3;6727,0;no
12,8,30,6,3;5964,0;no
12,10,30,6,3;4467,0;no
18,2,30,6,3;16231,0;no
18,6,30,6,3;6775,0;no
18,9,30,6,3;5477,0;no
18,12,30,6,3;3696,0;no
18,16,30,6,3;2587,0;no
