count,threshold,runtime,attack,reboot;signatures,aborts;reboots
8,2,15,10,3;6177,0;yes
8,3,15,10,3;5122,0;yes
8,4,15,10,3;4412,0;yes
8,5,15,10,3;3773,0;yes
8,6,15,10,3;3314,0;yes
12,2,15,10,3;4563,0;yes
12,4,15,10,3;3753,0;yes
12,6,15,10,3;3119,0;yes
12,8,15,10,3;2527,0;yes
12,10,15,10,3;1683,66;yes
18,2,15,10,3;2872,0;yes
18,6,15,10,3;2269,0;yes
18,9,15,10,3;1853,0;yes
18,12,15,10,3;1487,0;yes
18,16,15,10,3;874,85;yes
