count,threshold,runtime,attack,reboot;signatures,aborts;reboots
8,2,30,6,3;12928,0;yes
8,3,30,6,3;10714,0;yes
8,4,30,6,3;8783,0;yes
8,5,30,6,3;8091,0;yes
8,6,30,6,3;5135,136;yes
12,2,30,6,3;9268,0;yes
12,4,30,6,3;7663,0;yes
12,6,30,6,3;6259,0;yes
12,8,30,6,3;5042,0;yes
12,10,30,6,3;3169,152;yes
18,2,30,6,3;6052,0;yes
18,6,30,6,3;4651,0;yes
18,9,30,6,3;3783,0;yes
18,12,30,6,3;2886,25;yes
18,16,30,6,3;1478,229;yes
