count,threshold,runtime,attack,reboot;signatures,aborts;reboots
8,2,15,10,3;5818,0;no
8,3,15,10,3;5361,0;no
8,4,15,10,3;4338,0;no
8,5,15,10,3;3832,0;no
8,6,15,10,3;3406,0;no
12,2,15,10,3;4451,0;no
12,4,15,10,3;3546,0;no
12,6,15,10,3;2962,0;no
12,8,15,10,3;2540,0;no
12,10,15,10,3;2221,0;no
18,2,15,10,3;2881,0;no
18,6,15,10,3;2215,0;no
18,9,15,10,3;1765,0;no
18,12,15,10,3;1435,0;no
18,16,15,10,3;1272,0;no
